Query-mutant-straina;Query- strain-bnumberb;Recipient-mutant-strain;bnumber-of-recipient-mutant-strain;Strain-Versionsc;Essentiality;Functional-Association;S;Z;LOG(Q/R)
ycjN;b1310;holA;b0640;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.570;-5.971;-1.3196
ycjN;b1310;glnS;b0680;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.614;-4.685;-0.7724
ycjN;b1310;mukE;b0923;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.336;-4.311;-2.3588
ycjN;b1310;rne;b1084;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.271;-4.224;-0.6649
ycjN;b1310;holB;b1099;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.469;-4.489;-1.0898
ycjN;b1310;purB;b1131;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.638;-7.408;-4.5486
ycjN;b1310;pth;b1204;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.589;-4.651;-1.5148
ycjN;b1310;kdsA;b1215;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.337;-7.003;-6.4067
ycjN;b1310;topA;b1274;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.504;-8.573;-1.8730
ycjN;b1310;gyrA;b2231;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.377;-4.366;-0.9998
ycjN;b1310;nusA;b3169;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.257;-4.204;-2.4625
ycjN;b1310;coaD;b3634;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.851;-6.349;-2.3554
ycjN;b1310;ppa;b4226;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.880;-5.043;-2.4634
ycjR;b1314;kdsA;b1215;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.936;-5.390;-0.9045
ycjR;b1314;topA;b1274;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.977;-4.062;-0.5031
sufE;b1679;secA;b0098;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.825;-8.952;-2.2095
sufE;b1679;lpxB;b0182;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.664;-5.596;-1.2701
sufE;b1679;cysS;b0526;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.696;-5.646;-0.9255
sufE;b1679;tmk;b1098;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.783;-5.782;-1.1920
sufE;b1679;prfA;b1211;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.290;-5.016;-1.1618
sufE;b1679;tyrS;b1637;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.209;-7.996;-0.9907
sufE;b1679;pheT;b1713;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.009;-4.580;-10.4300
sufE;b1679;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;-9.103;-14.041;-10.4300
sufE;b1679;thrS;b1719;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.825;-5.847;-1.6408
sufE;b1679;nadE;b1740;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.265;-9.635;-4.1407
sufE;b1679;aspS;b1866;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.333;-9.741;-5.6746
sufE;b1679;gyrA;b2231;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.802;-5.812;-1.0949
sufE;b1679;folC;b2315;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.659;-4.037;-0.6814
sufE;b1679;der;b2511;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.671;-4.056;-0.7484
sufE;b1679;ffh;b2610;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.805;-7.368;-6.4072
sufE;b1679;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.346;-5.104;-3.9592
sufS;b1680;secA;b0098;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.383;-7.249;-2.2542
sufS;b1680;prfA;b1211;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.118;-4.614;-1.1318
sufS;b1680;tyrS;b1637;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.057;-6.870;-1.0288
sufS;b1680;pheT;b1713;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.828;-5.440;-9.9893
sufS;b1680;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;-8.335;-9.520;-2.5931
sufS;b1680;nadE;b1740;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.958;-7.918;-2.7308
sufS;b1680;gyrA;b2231;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.216;-7.055;-1.3386
sufS;b1680;yihA;b3865;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.936;-4.402;-1.6625
sufD;b1681;tyrS;b1637;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.150;-5.271;-0.7080
sufD;b1681;thrS;b1719;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.997;-4.052;-0.6006
sufD;b1681;gapA;b1779;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.357;-4.432;-0.4784
sufC;b1682;pheT;b1713;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.129;-6.343;-10.7023
sufC;b1682;thrS;b1719;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.099;-4.501;-1.5068
sufB;b1683;ispH;b0029;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.530;-4.567;-1.2858
sufB;b1683;murF;b0086;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.636;-4.709;-1.5665
sufB;b1683;secA;b0098;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.823;-4.959;-1.5006
sufB;b1683;map;b0168;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.005;-5.202;-3.5823
sufB;b1683;fabZ;b0180;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.894;-6.390;-1.7719
sufB;b1683;lpxB;b0182;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.324;-4.292;-2.3972
sufB;b1683;dnaE;b0184;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.379;-5.701;-1.0816
sufB;b1683;ribD;b0414;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.360;-4.340;-1.0085
sufB;b1683;cydC;b0886;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.882;-5.038;-0.7686
sufB;b1683;prfA;b1211;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.711;-4.809;-2.9226
sufB;b1683;kdsA;b1215;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.389;-4.379;-1.0832
sufB;b1683;fabI;b1288;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.480;-5.837;-3.2413
sufB;b1683;tyrS;b1637;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.900;-9.070;-1.5411
sufB;b1683;pheT;b1713;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.645;-4.721;-11.2632
sufB;b1683;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.568;-9.963;-11.2632
sufB;b1683;thrS;b1719;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.868;-6.355;-1.1253
sufB;b1683;nadE;b1740;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.109;-8.014;-3.9770
sufB;b1683;gapA;b1779;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.045;-7.928;-1.4928
sufB;b1683;gyrA;b2231;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.272;-5.558;-1.3621
sufB;b1683;fabB;b2323;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.137;-8.051;-1.7833
sufB;b1683;der;b2511;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.200;-6.799;-2.2925
sufB;b1683;hisS;b2514;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.539;-4.579;-1.4054
sufB;b1683;trmD;b2607;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.620;-4.687;-1.9509
sufB;b1683;pgk;b2926;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.285;-4.240;-1.9939
sufB;b1683;glmS;b3729;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.401;-4.394;-2.8524
sufB;b1683;yihA;b3865;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.106;-4.001;-1.4167
sufA;b1684;ispE;b1208;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.480;-4.660;-5.5164
sufA;b1684;pheT;b1713;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.624;-4.858;-10.4669
sufA;b1684;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.070;-9.585;-6.4098
sufA;b1684;thrS;b1719;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.422;-7.325;-1.2721
ydjX;b1750;fabZ;b0180;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.079;-4.116;-0.9604
ydjX;b1750;fabI;b1288;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.036;-4.056;-1.6414
ydjX;b1750;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.079;-6.908;-1.9464
ydjX;b1750;thrS;b1719;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.485;-6.078;-1.9106
ydjX;b1750;aspS;b1866;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.540;-6.155;-2.0767
ydjX;b1750;gyrA;b2231;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.622;-9.061;-2.6502
ydjX;b1750;folC;b2315;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.127;-4.183;-0.7012
ydjX;b1750;gltX;b2400;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.590;-6.225;-1.6733
ydjX;b1750;der;b2511;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.589;-4.827;-1.3166
ydjX;b1750;hisS;b2514;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.638;-6.291;-1.8534
ydjX;b1750;ispG;b2515;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.092;-5.529;-1.8496
ydjX;b1750;ffh;b2610;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.142;-5.599;-7.7779
ydjX;b1750;birA;b3973;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.624;-6.273;-2.0588
ynjB;b1754;pheT;b1713;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.354;-4.224;-10.7245
ynjB;b1754;der;b2511;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.269;-4.114;-0.8191
ydjH;b1772;fabZ;b0180;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.648;-6.156;-2.6574
ydjH;b1772;dxs;b0420;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.096;-4.661;-1.5563
ydjH;b1772;leuS;b0642;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.649;-4.231;-1.1031
ydjH;b1772;prsA;b1207;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.509;-4.095;-1.2810
ydjH;b1772;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.699;-6.205;-7.5499
ydjH;b1772;nadE;b1740;SPA-tag essential;SPA-tag essential;No functional association with STRING;-9.218;-8.632;-10.6401
ydjH;b1772;yeaZ;b1807;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.185;-5.710;-2.6753
ydjH;b1772;gyrA;b2231;SPA-tag essential;SPA-tag essential;No functional association with STRING;-8.054;-7.511;-2.3558
ydjH;b1772;gltX;b2400;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.415;-5.931;-2.7703
ydjH;b1772;fbaA;b2925;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.051;-4.618;-1.6545
ydjH;b1772;coaD;b3634;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.626;-5.172;-1.7500
ydjH;b1772;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.696;-4.275;-4.0658
fliA;b1922;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.345;-5.336;-1.4063
fliA;b1922;aspS;b1866;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.637;-8.234;-4.8875
fliA;b1922;der;b2511;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.086;-7.537;-4.4478
fdx;b2525;accD;b2316;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.689;-5.264;-0.7348
fdx;b2525;tadA;b2559;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.585;-5.113;-1.3659
fdx;b2525;acpS;b2563;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.665;-5.230;-1.1113
fdx;b2525;era;b2566;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.572;-5.094;-0.4986
fdx;b2525;rnc;b2567;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.691;-6.723;-0.8575
fdx;b2525;yfjB;b2615;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.281;-4.670;-0.6682
fdx;b2525;groS;b4142;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.724;-5.316;-0.5223
hscA;b2526;rnc;b2567;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.531;-5.036;-1.1148
hscB;b2527;can;b0126;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.993;-5.566;-1.1967
hscB;b2527;yadR;b0156;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.062;-4.239;-0.5538
hscB;b2527;acpS;b2563;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.367;-6.101;-0.9856
hscB;b2527;era;b2566;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.992;-11.271;-2.0856
hscB;b2527;rnc;b2567;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.134;-10.047;-1.3978
hscB;b2527;yfjB;b2615;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.162;-5.808;-1.2337
hscB;b2527;cca;b3056;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.113;-4.311;-0.4621
hscB;b2527;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.147;-4.360;-11.9573
hscB;b2527;ssb;b4059;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.266;-5.956;-3.5953
iscA;b2528;era;b2566;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.715;-10.370;-1.2163
iscA;b2528;rnc;b2567;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.848;-7.462;-1.0107
iscA;b2528;yfjB;b2615;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.760;-5.767;-0.7547
iscA;b2528;mreB;b3251;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.966;-4.530;-0.8007
iscA;b2528;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.583;-5.491;-3.1376
iscS;b2530;pheS;b1714;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.906;-7.243;-0.6075
iscS;b2530;aspS;b1866;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.223;-7.637;-2.6069
iscS;b2530;folC;b2315;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.302;-4.013;-0.5801
iscS;b2530;accD;b2316;SPA-tag essential;SPA-tag essential;No functional association with STRING;-11.200;-13.812;-10.8435
iscS;b2530;gltX;b2400;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.426;-7.889;-3.1013
iscS;b2530;era;b2566;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.304;-8.978;-8.9551
iscS;b2530;mreB;b3251;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.884;-4.735;-1.0474
iscS;b2530;ssb;b4059;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.798;-4.628;-2.1735
iscR;b2531;murE;b0085;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.019;-5.483;-10.1946
iscR;b2531;murF;b0086;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.643;-4.959;-2.3513
iscR;b2531;ftsA;b0094;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.326;-5.910;-1.6504
iscR;b2531;secA;b0098;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.894;-5.309;-1.0581
iscR;b2531;lpxA;b0181;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.235;-7.175;-10.1946
iscR;b2531;adk;b0474;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.153;-7.061;-1.8427
iscR;b2531;cydC;b0886;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.844;-5.238;-1.0421
iscR;b2531;lolA;b0891;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.434;-6.061;-3.1237
iscR;b2531;mukE;b0923;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.911;-5.333;-2.8795
iscR;b2531;fabI;b1288;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.578;-6.261;-2.8184
iscR;b2531;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.153;-4.277;-1.1378
iscR;b2531;folC;b2315;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.713;-7.841;-3.8233
iscR;b2531;accD;b2316;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.282;-8.632;-3.9944
iscR;b2531;ligA;b2411;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.069;-9.728;-6.6019
iscR;b2531;tadA;b2559;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.344;-7.327;-10.1946
iscR;b2531;acpS;b2563;SPA-tag essential;SPA-tag essential;No functional association with STRING;-10.597;-14.639;-10.1946
iscR;b2531;era;b2566;SPA-tag essential;SPA-tag essential;No functional association with STRING;-8.188;-11.286;-5.2458
iscR;b2531;trmD;b2607;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.177;-4.310;-1.9603
iscR;b2531;ffh;b2610;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.670;-6.389;-5.6749
iscR;b2531;nusA;b3169;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.576;-4.865;-2.0020
iscR;b2531;mreB;b3251;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.952;-8.174;-10.1946
iscR;b2531;rpoA;b3295;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.970;-6.806;-10.1946
iscR;b2531;fusA;b3340;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.239;-8.573;-2.1097
iscR;b2531;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.375;-5.978;-10.1946
iscR;b2531;glmS;b3729;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.444;-6.074;-10.1946
ygcB;b2761;holA;b0640;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.488;-6.603;-0.9265
ygcB;b2761;tmk;b1098;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.769;-6.950;-1.8327
ygcB;b2761;ygjD;b3064;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.577;-4.241;-4.5208
recD;b2819;can;b0126;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.648;-6.584;-1.2655
recD;b2819;mukE;b0923;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.760;-4.950;-1.6660
recD;b2819;tmk;b1098;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.279;-4.066;-0.7340
recD;b2819;prfA;b1211;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.778;-4.984;-0.8266
recD;b2819;der;b2511;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.638;-6.565;-0.8499
recD;b2819;ygiT;b3021;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.455;-11.748;-2.9634
recD;b2819;parE;b3030;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.487;-4.449;-0.6647
recD;b2819;nusA;b3169;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.176;-7.555;-1.9816
recD;b2819;rnpA;b3704;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.133;-7.477;-1.1380
recD;b2819;yihA;b3865;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.563;-8.268;-2.2551
recD;b2819;birA;b3973;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.621;-6.534;-1.4770
ygfJ;b2877;ispH;b0029;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.246;-4.545;-3.4030
ygfJ;b2877;murE;b0085;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.991;-7.031;-12.1526
ygfJ;b2877;murF;b0086;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.693;-4.043;-2.4187
ygfJ;b2877;murD;b0088;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.815;-4.154;-1.8522
ygfJ;b2877;murC;b0091;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.017;-6.148;-7.7656
ygfJ;b2877;lpxC;b0096;SPA-tag essential;SPA-tag essential;No functional association with STRING;-9.755;-8.628;-12.1526
ygfJ;b2877;yadR;b0156;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.035;-6.165;-9.2607
ygfJ;b2877;map;b0168;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.508;-5.687;-12.1526
ygfJ;b2877;ispU;b0174;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.758;-5.008;-12.1526
ygfJ;b2877;yaeT;b0177;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.667;-4.020;-3.0487
ygfJ;b2877;lpxD;b0179;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.533;-6.616;-12.1526
ygfJ;b2877;fabZ;b0180;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.511;-5.690;-12.1526
ygfJ;b2877;lpxA;b0181;SPA-tag essential;SPA-tag essential;No functional association with STRING;-8.687;-7.660;-12.1526
ygfJ;b2877;lpxB;b0182;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.283;-6.389;-12.1526
ygfJ;b2877;proS;b0194;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.712;-4.060;-2.0678
ygfJ;b2877;dxs;b0420;SPA-tag essential;SPA-tag essential;No functional association with STRING;-8.278;-7.291;-12.1526
ygfJ;b2877;adk;b0474;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.568;-5.741;-3.0619
ygfJ;b2877;cysS;b0526;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.426;-6.519;-12.1526
ygfJ;b2877;leuS;b0642;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.525;-4.797;-12.1526
ygfJ;b2877;fldA;b0684;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.291;-5.491;-9.1747
ygfJ;b2877;infA;b0884;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.420;-4.702;-1.9069
ygfJ;b2877;kdsB;b0918;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.971;-5.201;-4.8827
ygfJ;b2877;fabI;b1288;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.003;-5.230;-5.4249
ygfJ;b2877;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.408;-5.597;-12.1526
ygfJ;b2877;nadE;b1740;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.713;-4.061;-2.5932
ygfJ;b2877;der;b2511;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.914;-5.149;-12.1526
ygfJ;b2877;ffh;b2610;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.057;-4.373;-12.1526
ygfJ;b2877;ispF;b2746;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.674;-4.932;-2.7671
ygfJ;b2877;fbaA;b2925;SPA-tag essential;SPA-tag essential;No functional association with STRING;-11.913;-10.582;-12.1526
ygfJ;b2877;pgk;b2926;SPA-tag essential;SPA-tag essential;No functional association with STRING;-12.641;-11.242;-12.1526
ygfJ;b2877;metK;b2942;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.633;-5.801;-12.1526
ygfJ;b2877;parE;b3030;SPA-tag essential;SPA-tag essential;No functional association with STRING;-11.565;-10.267;-12.1526
ygfJ;b2877;ribB;b3041;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.870;-6.015;-12.1526
ygfJ;b2877;cca;b3056;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.596;-4.861;-12.1526
ygfJ;b2877;murA;b3189;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.911;-4.241;-12.1526
ygfJ;b2877;def;b3287;SPA-tag essential;SPA-tag essential;No functional association with STRING;-10.094;-8.935;-12.1526
ygfJ;b2877;rpsE;b3303;SPA-tag essential;SPA-tag essential;No functional association with STRING;-8.745;-7.713;-12.1526
ygfJ;b2877;rplW;b3318;SPA-tag essential;SPA-tag essential;No functional association with STRING;-8.406;-7.407;-9.7034
ygfJ;b2877;rplD;b3319;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.424;-6.517;-2.7697
ygfJ;b2877;fusA;b3340;SPA-tag essential;SPA-tag essential;No functional association with STRING;-13.671;-12.174;-4.4927
ygfJ;b2877;ftsX;b3462;SPA-tag essential;SPA-tag essential;No functional association with STRING;-10.218;-9.047;-12.1526
ygfJ;b2877;ftsE;b3463;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.645;-4.906;-12.1526
ygfJ;b2877;kdtA;b3633;SPA-tag essential;SPA-tag essential;No functional association with STRING;-12.985;-11.553;-12.1526
ygfJ;b2877;coaD;b3634;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.063;-5.284;-7.5200
ygfJ;b2877;dut;b3640;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.724;-6.789;-12.1526
ygfJ;b2877;gmk;b3648;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.397;-4.681;-9.8922
ygfJ;b2877;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.413;-4.696;-12.1526
ygfJ;b2877;rnpA;b3704;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.109;-4.421;-1.8969
ygfJ;b2877;glmU;b3730;SPA-tag essential;SPA-tag essential;No functional association with STRING;-10.328;-9.147;-12.1526
ygfJ;b2877;yihA;b3865;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.988;-4.311;-2.2957
ygfJ;b2877;murI;b3967;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.258;-4.555;-12.1526
ygfJ;b2877;murB;b3972;SPA-tag essential;SPA-tag essential;No functional association with STRING;-8.410;-7.410;-12.1526
ygfJ;b2877;lexA;b4043;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.743;-4.089;-1.6037
ygfJ;b2877;ppa;b4226;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.884;-4.216;-5.4662
dsbC;b2893;murE;b0085;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.658;-4.018;-1.3904
dsbC;b2893;yaeT;b0177;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.788;-4.223;-1.5397
dsbC;b2893;fbaA;b2925;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.956;-6.060;-1.4486
dsbC;b2893;pgk;b2926;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.707;-10.385;-2.4304
dsbC;b2893;metK;b2942;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.409;-5.200;-0.6748
dsbC;b2893;plsC;b3018;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.777;-4.205;-0.4984
